date,requests,avg_tokens_per_req,cache_hit_rate,io_ratio,input_tokens_per_req,output_tokens_per_req,cost_per_1k,cost_per_req,model_share_gpt-4o-mini-2024-07-18,model_share_gpt-4.1-nano-2025-04-14,model_share_gpt-4.1-2025-04-14,model_share_gpt-3.5-turbo-0125
2025-06-01 00:00:00+00:00,10494432,935.618664,0.433211,0.022039,916.241087,19.377577,0.000097,0.000090,0.461214,0.390774,0.001495,0.125267
2025-06-02 00:00:00+00:00,10498811,1073.420608,0.428497,0.111461,986.108619,87.311990,0.000508,0.000546,0.373836,0.310327,0.181663,0.068275
2025-06-03 00:00:00+00:00,11829625,1464.374618,0.451210,0.262897,1199.172081,265.202537,0.000979,0.001433,0.230965,0.193570,0.457752,0.019423
2025-06-04 00:00:00+00:00,9657594,953.840631,0.438110,0.034217,924.438798,29.401832,0.000275,0.000262,0.455815,0.382975,0.030316,0.037813
2025-06-05 00:00:00+00:00,10350291,949.655793,0.449686,0.033961,920.694411,28.961382,0.000294,0.000279,0.461566,0.388740,0.029333,0.034027
2025-06-06 00:00:00+00:00,11149308,949.592272,0.444112,0.030295,923.855341,25.736931,0.000220,0.000209,0.468744,0.389830,0.032572,0.035602
2025-06-07 00:00:00+00:00,10522016,895.846060,0.475181,0.022877,876.889584,18.956476,0.000089,0.000080,0.505078,0.427003,0.004026,0.046543
2025-06-08 00:00:00+00:00,9753096,898.741872,0.470975,0.022316,880.056708,18.685163,0.000085,0.000076,0.501793,0.425253,0.001956,0.050992
2025-06-09 00:00:00+00:00,9211121,934.748992,0.455295,0.031046,908.948303,25.800689,0.000189,0.000177,0.469138,0.396494,0.026635,0.040991
2025-06-10 00:00:00+00:00,9234399,1344.328952,0.325235,0.026279,1312.318613,32.010339,0.000207,0.000279,0.575299,0.268888,0.045898,0.026010
2025-06-11 00:00:00+00:00,10679078,2398.332071,0.161830,0.015462,2364.204509,34.127562,0.000149,0.000358,0.793689,0.136184,0.020440,0.012222
2025-06-12 00:00:00+00:00,18583644,6361.592018,0.040305,0.006594,6321.660599,39.931419,0.000090,0.000576,0.944372,0.031920,0.008875,0.002751
2025-06-13 00:00:00+00:00,76047053,11846.953586,0.005191,0.003978,11800.334513,46.619074,0.000069,0.000819,0.993992,0.004462,0.000355,0.000409
2025-06-14 00:00:00+00:00,10237773,899.449943,0.476668,0.022035,880.831416,18.618528,0.000076,0.000068,0.506559,0.427006,0.005395,0.046813
2025-06-15 00:00:00+00:00,9312590,916.022814,0.468604,0.023843,895.690979,20.331836,0.000090,0.000083,0.493165,0.414935,0.007684,0.050691
2025-06-16 00:00:00+00:00,9331573,992.481268,0.429361,0.030528,964.670862,27.810406,0.000210,0.000209,0.436282,0.373751,0.063458,0.036384
2025-06-17 00:00:00+00:00,9467347,1005.638314,0.415757,0.030975,977.300923,28.337392,0.000245,0.000247,0.415800,0.349083,0.127054,0.031958
2025-06-18 00:00:00+00:00,9794319,996.395224,0.449881,0.034691,965.403345,30.991880,0.000225,0.000225,0.439156,0.367310,0.054471,0.031809
2025-06-19 00:00:00+00:00,9929443,918.538886,0.459719,0.030175,893.710833,24.828052,0.000193,0.000177,0.489915,0.410774,0.009007,0.038480
2025-06-20 00:00:00+00:00,11052546,1017.763195,0.492357,0.027169,992.646112,25.117083,0.000182,0.000185,0.436141,0.366355,0.109744,0.033412
2025-06-21 00:00:00+00:00,11009773,948.795059,0.517122,0.022690,928.638626,20.156433,0.000067,0.000064,0.464708,0.468363,0.014721,0.041029
2025-06-22 00:00:00+00:00,11673187,909.554737,0.496244,0.029577,884.585129,24.969608,0.000070,0.000064,0.438970,0.496129,0.007419,0.044758
2025-06-23 00:00:00+00:00,13948399,1018.309406,0.560886,0.040341,980.303691,38.005715,0.000107,0.000108,0.307159,0.610917,0.020193,0.027004
2025-06-24 00:00:00+00:00,9398197,908.175845,0.455478,0.028419,884.484624,23.691221,0.000160,0.000145,0.480032,0.401378,0.026769,0.037689
2025-06-25 00:00:00+00:00,10482121,1747.500509,0.242793,0.017386,1719.914237,27.586272,0.000149,0.000260,0.717679,0.198211,0.037020,0.017016
2025-06-26 00:00:00+00:00,10377325,993.061428,0.459671,0.032466,964.562962,28.498467,0.000315,0.000312,0.461579,0.370468,0.071952,0.031584
2025-06-27 00:00:00+00:00,11221947,934.913607,0.460082,0.030486,909.374706,25.538900,0.000276,0.000258,0.475464,0.398836,0.036859,0.035332
2025-06-28 00:00:00+00:00,11159583,898.653361,0.461306,0.030334,874.365073,24.288288,0.000267,0.000240,0.494136,0.415833,0.001275,0.041678
2025-06-29 00:00:00+00:00,10823855,903.487731,0.452272,0.032120,877.791701,25.696030,0.000319,0.000288,0.483558,0.407868,0.002749,0.048551
2025-06-30 00:00:00+00:00,10466729,1000.267040,0.480356,0.031590,971.838591,28.428449,0.000288,0.000288,0.415149,0.422773,0.038984,0.035741
